TAXONOMIC ORDER,COMMON NAME,OBSERVATION COUNT,LATITUDE,LONGITUDE,OBSERVATION DATE,TIME OBSERVATIONS STARTED
30320,Lazuli Bunting,1,47.4066334,-122.2595633,5/30/09,10:00:00
30320,Lazuli Bunting,1,47.4066334,-122.2595633,5/30/09,9:00:00
30320,Lazuli Bunting,1,47.6630065,-122.1146411,5/23/09,11:00:00
30320,Lazuli Bunting,2,47.662576,-122.12052,5/28/09,5:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,5/21/09,5:30:00
30320,Lazuli Bunting,2,47.65424,-122.29137,5/10/09,7:15:00
30320,Lazuli Bunting,1,47.662576,-122.12052,5/21/09,5:50:00
30320,Lazuli Bunting,1,47.662576,-122.12052,5/21/09,4:30:00
30320,Lazuli Bunting,X,47.662576,-122.12052,5/28/09,
30320,Lazuli Bunting,1,47.662576,-122.12052,5/28/09,5:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,5/23/09,8:00:00
30320,Lazuli Bunting,3,47.662576,-122.12052,5/28/09,5:30:00
30320,Lazuli Bunting,2,47.65424,-122.29137,6/6/09,9:15:00
30320,Lazuli Bunting,6,47.523852,-121.7963326,6/13/09,7:30:00
30320,Lazuli Bunting,3,47.662576,-122.12052,6/11/09,4:00:00
30320,Lazuli Bunting,2,47.5240404,-121.8066645,6/11/09,10:40:00
30320,Lazuli Bunting,4,47.523852,-121.7963326,6/11/09,7:00:00
30320,Lazuli Bunting,2,47.662576,-122.12052,6/11/09,5:30:00
30320,Lazuli Bunting,2,47.523852,-121.7963326,6/11/09,7:00:00
30320,Lazuli Bunting,2,47.523852,-121.7963326,6/16/09,10:00:00
30320,Lazuli Bunting,2,47.523852,-121.7963326,6/16/09,7:00:00
30320,Lazuli Bunting,5,47.523852,-121.7963326,6/13/09,9:00:00
30320,Lazuli Bunting,2,47.6404972,-121.9264226,6/13/09,11:30:00
30320,Lazuli Bunting,2,47.6404972,-121.9264226,6/13/09,11:30:00
30320,Lazuli Bunting,2,47.523852,-121.7963326,6/10/09,18:30:00
30320,Lazuli Bunting,5,47.523852,-121.7963326,6/14/09,6:50:00
30320,Lazuli Bunting,1,47.682061,-121.939702,6/12/09,13:00:00
30320,Lazuli Bunting,5,47.5240404,-121.8066645,6/13/09,9:00:00
30320,Lazuli Bunting,2,47.662576,-122.12052,6/25/09,5:30:00
30320,Lazuli Bunting,3,47.662576,-122.12052,6/4/09,5:30:00
30320,Lazuli Bunting,5,47.662576,-122.12052,6/18/09,5:30:00
30320,Lazuli Bunting,1,47.523852,-121.7963326,6/19/09,11:00:00
30320,Lazuli Bunting,6,47.662576,-122.12052,6/18/09,4:30:00
30320,Lazuli Bunting,2,47.662576,-122.12052,6/18/09,5:30:00
30320,Lazuli Bunting,2,47.65424,-122.29137,6/17/09,5:00:00
30320,Lazuli Bunting,1,47.3004204,-122.2497869,6/17/09,13:20:00
30320,Lazuli Bunting,4,47.662576,-122.12052,6/11/09,5:30:00
30320,Lazuli Bunting,2,47.662576,-122.12052,6/25/09,5:30:00
30320,Lazuli Bunting,2,47.662576,-122.12052,6/25/09,4:30:00
30320,Lazuli Bunting,1,47.65424,-122.29137,6/24/09,5:40:00
30320,Lazuli Bunting,10,47.523852,-121.7963326,6/27/09,9:00:00
30320,Lazuli Bunting,X,47.523852,-121.7963326,6/10/09,
30320,Lazuli Bunting,X,47.662576,-122.12052,6/27/09,8:00:00
30320,Lazuli Bunting,X,47.523852,-121.7963326,6/11/09,11:00:00
30320,Lazuli Bunting,1,47.523852,-121.7963326,6/12/09,7:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/18/09,6:00:00
30320,Lazuli Bunting,X,47.662576,-122.12052,6/27/09,8:00:00
30320,Lazuli Bunting,4,47.523852,-121.7963326,6/13/09,6:15:00
30320,Lazuli Bunting,1,47.523852,-121.7963326,6/21/09,10:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,7/16/09,5:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,7/2/09,5:30:00
30320,Lazuli Bunting,3,47.662576,-122.12052,7/30/09,6:00:00
30320,Lazuli Bunting,X,47.523852,-121.7963326,7/4/09,
30320,Lazuli Bunting,2,47.662576,-122.12052,7/9/09,5:30:00
30320,Lazuli Bunting,2,47.662576,-122.12052,7/2/09,5:30:00
30320,Lazuli Bunting,1,47.4190282,-122.2763085,7/11/09,16:00:00
30320,Lazuli Bunting,2,47.662576,-122.12052,7/9/09,4:30:00
30320,Lazuli Bunting,2,47.523852,-121.7963326,7/13/09,
30320,Lazuli Bunting,1,47.662576,-122.12052,7/16/09,5:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,7/16/09,4:30:00
30320,Lazuli Bunting,3,47.662576,-122.12052,7/30/09,6:00:00
30320,Lazuli Bunting,2,47.662576,-122.12052,7/30/09,4:30:00
30320,Lazuli Bunting,1,47.4066334,-122.2595633,7/19/09,8:20:00
30320,Lazuli Bunting,1,47.662576,-122.12052,8/13/09,4:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,8/13/09,6:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,8/13/09,6:00:00
30320,Lazuli Bunting,2,47.6640001,-121.9228363,5/29/10,8:00:00
30320,Lazuli Bunting,3,47.6640001,-121.9228363,5/30/10,7:00:00
30320,Lazuli Bunting,2,47.523852,-121.7963326,5/23/10,14:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/21/10,
30320,Lazuli Bunting,1,47.658745,-122.4182162,6/5/10,6:55:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/3/10,4:00:00
30320,Lazuli Bunting,1,47.542376,-121.871602,6/1/10,8:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/3/10,5:30:00
30320,Lazuli Bunting,2,47.662576,-122.12052,6/12/10,
30320,Lazuli Bunting,3,47.65424,-122.29137,6/7/10,10:05:00
30320,Lazuli Bunting,2,47.3284365,-122.2431564,6/8/10,8:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/10/10,5:30:00
30320,Lazuli Bunting,X,47.4066334,-122.2595633,6/13/10,6:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/22/10,9:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/21/10,6:30:00
30320,Lazuli Bunting,1,47.3664551,-122.2591209,7/11/10,7:15:00
30320,Lazuli Bunting,1,47.3284365,-122.2431564,7/17/10,14:00:00
30320,Lazuli Bunting,2,47.3284365,-122.2431564,7/18/10,9:30:00
30320,Lazuli Bunting,1,47.3284365,-122.2431564,7/25/10,9:00:00
30320,Lazuli Bunting,1,47.3762272,-121.8687737,5/7/11,19:38:00
30320,Lazuli Bunting,1,47.7740331,-122.3849192,5/19/11,
30320,Lazuli Bunting,1,47.7740331,-122.3849192,5/19/11,
30320,Lazuli Bunting,X,47.662576,-122.12052,5/26/11,5:30:00
30320,Lazuli Bunting,2,47.662576,-122.12052,5/26/11,5:30:00
30320,Lazuli Bunting,2,47.662576,-122.12052,5/26/11,5:30:00
30320,Lazuli Bunting,2,47.662576,-122.12052,5/26/11,5:30:00
30320,Lazuli Bunting,1,47.37562,-121.86822,5/21/11,
30320,Lazuli Bunting,1,47.6980631,-121.9884109,5/28/11,9:30:00
30320,Lazuli Bunting,1,47.6980631,-121.9884109,5/28/11,9:30:00
30320,Lazuli Bunting,2,47.662576,-122.12052,5/26/11,5:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/16/11,5:30:00
30320,Lazuli Bunting,2,47.523852,-121.7963326,6/12/11,11:40:00
30320,Lazuli Bunting,2,47.523852,-121.7963326,6/19/11,8:45:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,6/16/11,4:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/23/11,14:00:00
30320,Lazuli Bunting,4,47.662576,-122.12052,6/19/11,15:00:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,6/23/11,11:15:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,6/26/11,7:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/11/11,9:45:00
30320,Lazuli Bunting,1,47.4066334,-122.2595633,6/26/11,8:00:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,6/26/11,7:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/30/11,5:30:00
30320,Lazuli Bunting,2,47.5226276,-121.8054843,6/15/11,8:45:00
30320,Lazuli Bunting,1,47.6701559,-122.1102905,6/30/11,8:40:00
30320,Lazuli Bunting,1,47.6701559,-122.1102905,6/30/11,8:40:00
30320,Lazuli Bunting,X,47.6829127,-121.9239418,6/25/11,
30320,Lazuli Bunting,X,47.4066334,-122.2595633,6/5/11,16:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/7/11,7:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/6/11,6:30:00
30320,Lazuli Bunting,X,47.4066334,-122.2595633,6/5/11,16:00:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,6/9/11,11:45:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/16/11,4:30:00
30320,Lazuli Bunting,X,47.662576,-122.12052,6/19/11,
30320,Lazuli Bunting,X,47.662576,-122.12052,6/18/11,
30320,Lazuli Bunting,2,47.4190282,-122.2763085,6/13/11,
30320,Lazuli Bunting,1,47.662576,-122.12052,6/11/11,8:30:00
30320,Lazuli Bunting,X,47.662576,-122.12052,6/6/11,
30320,Lazuli Bunting,2,47.662576,-122.12052,6/2/11,4:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/30/11,4:30:00
30320,Lazuli Bunting,2,47.662576,-122.12052,6/2/11,4:30:00
30320,Lazuli Bunting,2,47.6815336,-122.2505453,7/4/11,8:30:00
30320,Lazuli Bunting,2,47.6815336,-122.2505453,7/4/11,17:46:00
30320,Lazuli Bunting,2,47.523852,-121.7963326,7/31/11,14:00:00
30320,Lazuli Bunting,2,47.523852,-121.7963326,7/4/11,11:45:00
30320,Lazuli Bunting,2,47.523852,-121.7963326,7/4/11,11:45:00
30320,Lazuli Bunting,2,47.6815336,-122.2505453,7/4/11,17:46:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,7/1/11,8:00:00
30320,Lazuli Bunting,2,47.6815336,-122.2505453,7/10/11,4:30:00
30320,Lazuli Bunting,2,47.6815336,-122.2505453,7/7/11,4:00:00
30320,Lazuli Bunting,X,47.65424,-122.29137,7/10/11,15:00:00
30320,Lazuli Bunting,X,47.65424,-122.29137,7/10/11,15:00:00
30320,Lazuli Bunting,1,47.4066334,-122.2595633,7/15/11,
30320,Lazuli Bunting,1,47.6815336,-122.2505453,7/21/11,4:45:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,7/15/11,
30320,Lazuli Bunting,2,47.662576,-122.12052,5/24/12,4:30:00
30320,Lazuli Bunting,2,47.662576,-122.12052,5/24/12,18:45:00
30320,Lazuli Bunting,1,47.4066334,-122.2595633,5/24/12,8:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,5/24/12,10:50:00
30320,Lazuli Bunting,2,47.663868,-122.4215317,5/26/12,5:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,5/26/12,7:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,5/25/12,5:40:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,5/13/12,6:30:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,5/14/12,7:30:00
30320,Lazuli Bunting,1,47.4066334,-122.2595633,5/27/12,7:45:00
30320,Lazuli Bunting,2,47.662576,-122.12052,5/24/12,7:15:00
30320,Lazuli Bunting,2,47.3293193,-122.2429959,5/27/12,7:00:00
30320,Lazuli Bunting,1,47.3265563,-122.2441211,5/26/12,13:00:00
30320,Lazuli Bunting,6,47.4066334,-122.2595633,5/28/12,6:45:00
30320,Lazuli Bunting,2,47.4190282,-122.2763085,5/30/12,13:42:00
30320,Lazuli Bunting,X,47.4066334,-122.2595633,5/27/12,13:00:00
30320,Lazuli Bunting,1,47.4190282,-122.2763085,5/31/12,13:01:00
30320,Lazuli Bunting,4,47.2448623,-122.0827389,5/26/12,7:50:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,5/19/12,6:30:00
30320,Lazuli Bunting,1,47.3877161,-122.3040962,5/30/12,14:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/7/12,6:00:00
30320,Lazuli Bunting,X,47.4066334,-122.2595633,6/9/12,14:15:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/28/12,4:10:00
30320,Lazuli Bunting,2,47.662576,-122.12052,6/21/12,4:30:00
30320,Lazuli Bunting,1,47.4066334,-122.2595633,6/9/12,
30320,Lazuli Bunting,1,47.6815336,-122.2505453,6/10/12,4:50:00
30320,Lazuli Bunting,1,47.65424,-122.29137,6/11/12,7:00:00
30320,Lazuli Bunting,X,47.662576,-122.12052,6/23/12,6:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/7/12,5:30:00
30320,Lazuli Bunting,3,47.662576,-122.12052,6/14/12,5:00:00
30320,Lazuli Bunting,2,47.3284365,-122.2431564,6/3/12,
30320,Lazuli Bunting,2,47.662576,-122.12052,6/14/12,8:45:00
30320,Lazuli Bunting,3,47.662576,-122.12052,6/14/12,5:30:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,6/16/12,8:15:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/13/12,9:00:00
30320,Lazuli Bunting,3,47.662576,-122.12052,6/14/12,5:30:00
30320,Lazuli Bunting,1,47.6796051,-121.9601727,6/17/12,10:15:00
30320,Lazuli Bunting,1,47.4253436,-121.4216495,6/16/12,9:25:00
30320,Lazuli Bunting,1,47.4066334,-122.2595633,6/17/12,18:45:00
30320,Lazuli Bunting,2,47.662576,-122.12052,6/14/12,7:00:00
30320,Lazuli Bunting,1,47.6829127,-121.9239418,6/19/12,15:00:00
30320,Lazuli Bunting,1,47.4066334,-122.2595633,6/17/12,18:45:00
30320,Lazuli Bunting,2,47.662576,-122.12052,6/21/12,8:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/21/12,5:30:00
30320,Lazuli Bunting,2,47.662576,-122.12052,6/21/12,4:30:00
30320,Lazuli Bunting,3,47.4066334,-122.2595633,6/3/12,9:10:00
30320,Lazuli Bunting,X,47.6545148,-122.1077304,6/25/12,7:00:00
30320,Lazuli Bunting,2,47.6829127,-121.9239418,6/24/12,7:00:00
30320,Lazuli Bunting,1,47.6865969,-121.9762874,6/24/12,10:20:00
30320,Lazuli Bunting,2,47.4066334,-122.2595633,6/3/12,13:00:00
30320,Lazuli Bunting,1,47.3685927,-122.2428125,6/4/12,8:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/25/12,9:55:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/24/12,5:50:00
30320,Lazuli Bunting,4,47.4066334,-122.2595633,6/4/12,16:45:00
30320,Lazuli Bunting,1,47.5226276,-121.8054843,6/5/12,6:45:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/28/12,5:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/7/12,6:00:00
30320,Lazuli Bunting,2,47.662576,-122.12052,6/6/12,12:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,6/28/12,5:30:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,6/28/12,4:30:00
30320,Lazuli Bunting,1,47.662576,-122.12052,7/26/12,4:45:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,7/5/12,4:45:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,7/12/12,19:00:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,7/11/12,4:15:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,7/12/12,5:15:00
30320,Lazuli Bunting,1,47.662576,-122.12052,7/12/12,19:10:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,7/19/12,4:15:00
30320,Lazuli Bunting,1,47.662576,-122.12052,7/26/12,6:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,7/26/12,6:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,7/26/12,6:00:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,7/12/12,7:10:00
30320,Lazuli Bunting,1,47.662576,-122.12052,8/2/12,5:45:00
30320,Lazuli Bunting,1,47.662576,-122.12052,8/2/12,5:00:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,8/4/12,9:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,8/2/12,6:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,9/13/12,6:15:00
30320,Lazuli Bunting,1,47.663868,-122.4215317,5/10/13,8:30:00
30320,Lazuli Bunting,1,47.65424,-122.29137,5/28/13,13:15:00
30320,Lazuli Bunting,1,47.2659509,-122.0919013,5/29/13,7:30:00
30320,Lazuli Bunting,1,47.65424,-122.29137,5/28/13,13:15:00
30320,Lazuli Bunting,1,47.65424,-122.29137,5/29/13,14:00:00
30320,Lazuli Bunting,1,47.6282827,-122.2933075,5/18/13,6:00:00
30320,Lazuli Bunting,2,47.662576,-122.12052,5/30/13,5:24:00
30320,Lazuli Bunting,2,47.662576,-122.12052,5/30/13,6:30:00
30320,Lazuli Bunting,2,47.662576,-122.12052,5/30/13,5:30:00
30320,Lazuli Bunting,2,47.663868,-122.4215317,5/27/13,8:15:00
30320,Lazuli Bunting,2,47.663868,-122.4215317,5/20/13,4:45:00
30320,Lazuli Bunting,1,47.65424,-122.29137,5/19/13,7:40:00
30320,Lazuli Bunting,1,47.65424,-122.29137,5/19/13,9:57:00
30320,Lazuli Bunting,1,47.65424,-122.29137,5/19/13,7:20:00
30320,Lazuli Bunting,2,47.6545148,-122.1077304,5/31/13,10:40:00
30320,Lazuli Bunting,1,47.65424,-122.29137,5/31/13,12:00:00
30320,Lazuli Bunting,2,47.662576,-122.12052,5/30/13,18:30:00
30320,Lazuli Bunting,2,47.6815336,-122.2505453,5/30/13,3:52:00
30320,Lazuli Bunting,X,47.65424,-122.29137,5/31/13,7:40:00
30320,Lazuli Bunting,1,47.65424,-122.29137,5/30/13,8:35:00
30320,Lazuli Bunting,3,47.3284365,-122.2431564,5/12/13,7:03:00
30320,Lazuli Bunting,1,47.6829127,-121.9239418,5/20/13,8:55:00
30320,Lazuli Bunting,1,47.65424,-122.29137,5/19/13,9:57:00
30320,Lazuli Bunting,2,47.65424,-122.29137,5/31/13,8:15:00
30320,Lazuli Bunting,3,47.662576,-122.12052,5/23/13,5:00:00
30320,Lazuli Bunting,2,47.662576,-122.12052,5/16/13,5:30:00
30320,Lazuli Bunting,1,47.3284365,-122.2431564,5/12/13,8:45:00
30320,Lazuli Bunting,3,47.4066334,-122.2595633,5/31/13,17:00:00
30320,Lazuli Bunting,1,47.3284365,-122.2431564,5/13/13,12:08:00
30320,Lazuli Bunting,X,47.662576,-122.12052,5/31/13,6:00:00
30320,Lazuli Bunting,3,47.662576,-122.12052,5/30/13,5:00:00
30320,Lazuli Bunting,4,47.662576,-122.12052,5/23/13,5:25:00
30320,Lazuli Bunting,1,47.5597558,-122.0549817,5/22/13,9:10:00
30320,Lazuli Bunting,X,47.65424,-122.29137,5/23/13,12:30:00
30320,Lazuli Bunting,2,47.7017213,-122.3312035,5/14/13,18:10:00
30320,Lazuli Bunting,1,47.6545148,-122.1077304,5/14/13,10:57:00
30320,Lazuli Bunting,2,47.65424,-122.29137,5/24/13,7:31:00
30320,Lazuli Bunting,3,47.663868,-122.4215317,5/24/13,4:30:00
30320,Lazuli Bunting,1,47.3276285,-122.2420835,5/15/13,16:00:00
30320,Lazuli Bunting,8,47.6829127,-121.9239418,5/25/13,7:00:00
30320,Lazuli Bunting,10,47.6875358,-121.940217,5/25/13,7:00:00
30320,Lazuli Bunting,3,47.663868,-122.4215317,5/24/13,4:45:00
30320,Lazuli Bunting,1,47.663868,-122.4215317,5/16/13,4:45:00
30320,Lazuli Bunting,3,47.65424,-122.29137,5/26/13,10:00:00
30320,Lazuli Bunting,2,47.662576,-122.12052,5/25/13,6:35:00
30320,Lazuli Bunting,1,47.65424,-122.29137,5/20/13,10:31:00
30320,Lazuli Bunting,X,47.662576,-122.12052,5/31/13,6:00:00
30320,Lazuli Bunting,3,47.663868,-122.4215317,5/27/13,7:00:00
30320,Lazuli Bunting,1,47.662576,-122.12052,5/24/13,17:45:00
30320,Lazuli Bunting,1,47.6815336,-122.2505453,5/9/13,10:25:00
30320,Lazuli Bunting,2,47.3483898,-122.2167635,5/17/13,10:50:00
30320,Lazuli Bunting,2,47.6545148,-122.1077304,5/18/13,9:00:00
